neighbourhood,neighbourhood_group,area,centroid_longitude,centroid_latitude
Bayswater,Queens,0.235398844506739,-73.769503479281,40.617400176458
Allerton,Bronx,2.42687020743273,-73.8599842270222,40.8647273556842
City Island,Bronx,1.11444587318107,-73.7866535053337,40.8469316166822
Ditmars Steinway,Queens,5.45608093093808,-73.9060033468951,40.7778036790678
Ozone Park,Queens,4.83564809004121,-73.8463643910451,40.6790826480071
Fordham,Bronx,2.55067414369317,-73.8935258269879,40.8618907283992
Whitestone,Queens,6.76586841692418,-73.8110269272177,40.7866567522383
Arden Heights,Staten Island,3.91407075736063,-74.179460656935,40.5548101511363
Arrochar,Staten Island,2.07251747741617,-74.0721823203719,40.5931866302033
Arverne,Queens,1.98341643617478,-73.7954916202431,40.5933785876839
Bay Ridge,Brooklyn,3.63772950443911,-74.0281968569178,40.6310712665653
Belmont,Bronx,1.35623363697378,-73.8882309665304,40.8537962489712
Gerritsen Beach,Brooklyn,0.868590315329398,-73.9275212754481,40.5928740083816
Port Ivory,Staten Island,0.362347739926833,-74.1779080984175,40.6426588463671
Soundview,Bronx,2.25848272737495,-73.8715625615864,40.8252466467073
Astoria,Queens,4.71335430162647,-73.9197459495902,40.765186761166
Bath Beach,Brooklyn,1.99592421684902,-74.0066104516645,40.6036455277426
Bayside,Queens,10.8143961005596,-73.7678905306327,40.7581835479679
Battery Park City,Manhattan,0.508071781328048,-74.0160839915314,40.7112517284425
Bay Terrace,Queens,3.19421903117358,-73.7831368477134,40.7847717212701
"Bay Terrace, Staten Island",Staten Island,1.83028076380785,-74.1387871647062,40.5580560732899
Baychester,Bronx,1.55801561170259,-73.8404034588551,40.8716723606218
Bayswater,Queens,1.8592895315799,-73.7642862536243,40.6060721669242
Bedford-Stuyvesant,Brooklyn,8.05363034067851,-73.9382015250131,40.687068215429
Belle Harbor,Queens,1.26980402010078,-73.8517977096978,40.5760913830194
Bellerose,Queens,5.20899515803866,-73.7262896369434,40.73596585732
Bensonhurst,Brooklyn,3.70377501574272,-73.9947231109728,40.6129150847015
Bergen Beach,Brooklyn,2.95653613258204,-73.9049904072635,40.619423690726
Bloomfield,Staten Island,6.20957254853768,-74.1902753217834,40.6175525589586
Boerum Hill,Brooklyn,0.6209729686903,-73.9850763720876,40.6864366680141
Borough Park,Brooklyn,6.87978133465618,-73.9903696258357,40.6304711646324
Brighton Beach,Brooklyn,2.7810078208644,-73.9681508910475,40.5782727114471
Prospect-Lefferts Gardens,Brooklyn,1.81087118101866,-73.9512645960787,40.6595768855231
Mott Haven,Bronx,2.55358981085596,-73.9192474284,40.8112705433911
