title,categories,dollarPrice,rating,reviewCount,img,yelpPage,address,district,zipcode,phone
67 Orange Street,Lounges;Cocktail Bars,$$,4.0,350.0,https://s3-media2.fl.yelpcdn.com/bphoto/tNDVbUow9R4LfuWo1mSNkg/ls.jpg,https://www.yelp.com/biz/67-orange-street-new-york,2082 Frederick Douglas Blvd,Harlem,10026,(212) 662-2030
Harlem Nights Bar,Bars;Music Venues,$$,4.0,139.0,https://s3-media2.fl.yelpcdn.com/bphoto/tTkMpGZ9KonjJFcz65t4Gw/ls.jpg,https://www.yelp.com/biz/harlem-nights-bar-new-york,2361 7th Ave,Harlem,10026,(646) 820-4603
Mess Hall,Cocktail Bars;Pubs;Dive Bars,$$,4.0,132.0,https://s3-media2.fl.yelpcdn.com/bphoto/bmDGNuvaXQ-_0SHNIn0sWg/ls.jpg,https://www.yelp.com/biz/mess-hall-harlem,2194 Frederick Douglass Blvd,Harlem,10026,(646) 692-3098
The Hamilton,Cocktail Bars;Whiskey Bars,$$,4.0,107.0,https://s3-media2.fl.yelpcdn.com/bphoto/GZ0u6V0hPNSpKZVR85J3sA/ls.jpg,https://www.yelp.com/biz/the-hamilton-new-york-3,998 Amsterdam Ave,Manhattan Valley,10026,(646) 912-9421
Kingston,Caribbean;Bars,$$,3.0,100.0,https://s3-media2.fl.yelpcdn.com/bphoto/_kmC0NsOkynVpV_utPmPrw/ls.jpg,https://www.yelp.com/biz/kingston-harlem,218 W 116th St,Harlem,10026,(646) 861-1082
Shrine,Bars;Music Venues,$$,4.0,242.0,https://s3-media1.fl.yelpcdn.com/bphoto/5e4VFC01fXbYwM6slsNX9w/ls.jpg,https://www.yelp.com/biz/shrine-new-york,2271 Adam Clayton Powell Blvd,Harlem,10026,(212) 690-7807
Bob’s Your Uncle,Dive Bars,$$,4.0,63.0,https://s3-media1.fl.yelpcdn.com/bphoto/4jIPpLrZBs8PLgFomPnW6A/ls.jpg,https://www.yelp.com/biz/bobs-your-uncle-new-york-2,929 Columbus Ave,Manhattan Valley,10026,
The West End,Lounges;Music Venues,$$,3.0,73.0,https://s3-media2.fl.yelpcdn.com/bphoto/3g1odLAUu4hIxrqNEqBz4A/ls.jpg,https://www.yelp.com/biz/the-west-end-new-york-3,955 W End Ave,Manhattan Valley,10026,(212) 531-4759
Postcrypt Coffeehouse,Music Venues,$,4.0,6.0,https://s3-media3.fl.yelpcdn.com/bphoto/mQphHuBJQsbuuzqdA-foSw/ls.jpg,https://www.yelp.com/biz/postcrypt-coffeehouse-new-york-2,1160 Amsterdam Ave,Morningside Heights,10026,
A’dar Moroccan Lounge,Hookah Bars;Lounges,$$,4.0,28.0,https://s3-media3.fl.yelpcdn.com/bphoto/70Igz_G-hRyUYvGjAvdkdA/ls.jpg,https://www.yelp.com/biz/adar-moroccan-lounge-new-york,1637 Park Ave,East Harlem,10026,(212) 996-2327
A Touch of Dee,Dive Bars,$,5.0,9.0,https://s3-media3.fl.yelpcdn.com/bphoto/R-8TbyqEYGbN-InI1PkrGA/ls.jpg,https://www.yelp.com/biz/a-touch-of-dee-new-york,657 Malcom X Blvd,Harlem,10026,(212) 694-9530
