bizID,title,categories,priceRange,dollarPrice,rating,reviewCount,address,district,searchZipcode,exactZipcode,latitude,longitude,phone,img
malcolm-shabazz-harlem-market-new-york,Malcolm Shabazz Harlem Market,Shopping Centers,Inexpensive,$,4,21,52 W 116th St,Harlem,10026,10026,40.8014039,-73.94871479999999,(212) 987-8131,https://s3-media4.fl.yelpcdn.com/bphoto/P0mnXOfKn5amrixsaq1kbQ/90s.jpg
trunk-show-designer-consignment-new-york,Trunk Show Designer Consignment,Personal Shopping;Used;Vintage & Consignment,Ultra High-End,$$$$,4,17,275-277 W 113th St,Harlem,10026,10026,40.802372399999996,-73.95634799999999,(212) 662-0009,https://s3-media2.fl.yelpcdn.com/bphoto/Z6Cdih4wtfS4xRUEZfNpPg/90s.jpg
carbon-showroom-new-york,Carbon Showroom,Women's Clothing;Men's Clothing;Jewelry,,,5,1,131 W 116th St,Harlem,10026,10026,40.8027676,-73.9510118,(347) 201-0726,https://s3-media3.fl.yelpcdn.com/bphoto/pUGXvYfD44cB7aRItbuvcQ/90s.jpg
nilu-gift-shop-new-york-2,NiLu Gift Shop,Gift Shops;Cards & Stationery,Moderate,$$,4,12,191 Malcolm X Blvd,Harlem,10026,10026,40.8044574,-73.9483587,(646) 964-4926,https://s3-media1.fl.yelpcdn.com/bphoto/z-nX0PC8WkfZz_2fuMhI_w/90s.jpg
moes-sneaker-spot-new-york-3,Moe’s Sneaker Spot,Shoe Stores,Moderate,$$,5,2,1890 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.802460100000005,-73.9534152,(516) 473-0065,https://s3-media2.fl.yelpcdn.com/bphoto/n9ooZhPUd4yYFgOhZYfWPw/90s.jpg
royaluxe-brooklyn,Royaluxe,Wholesale Stores,,,-1,-1,164 W 116th St,Harlem,10026,10026,40.8028606,-73.9523764,(347) 307-3334,https://s3-media3.fl.yelpcdn.com/bphoto/jJxlOQU9n1Wu5sHEC8TuSA/90s.jpg
harlem-underground-new-york-2,Harlem Underground,Children's Clothing;Men's Clothing;Women's Clothing,,,-1,-1,2217 Frederick Douglass Blvd,Harlem,10026,10026,40.8069256,-73.9539472,(212) 222-4419,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
fallas-stores-new-york,Fallas Stores,Department Stores;Children's Clothing;Women's Clothing,Inexpensive,$,2,3,101 W 116th St,Harlem,10026,10026,40.80246270000001,-73.9498508,(212) 222-5356,https://s3-media2.fl.yelpcdn.com/bphoto/_CSRKhARCBgBbQbhu77ONQ/90s.jpg
reginald-rousseau-working-art-studio-new-york,Reginald Rousseau Working Art Studio,Art Galleries,,,4,1,65 Saint Nicholas Ave,Harlem,10026,10026,40.801123600000004,-73.9527373,(516) 557-6693,https://s3-media3.fl.yelpcdn.com/bphoto/hY5s63yRPaCLTuCRo9na3Q/90s.jpg
swing-new-york-city,SWING,Women's Clothing,,,-1,-1,108 W 118th St,Harlem,10026,10026,40.8034628,-73.9494949,(646) 661-0318,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
ashley-stewart-new-york-2,Ashley Stewart,Women's Clothing,,,3,2,39 W 116th St,Harlem,10026,10026,40.801722600000005,-73.9483604,(917) 492-3693,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
deals-new-york-2,Deals,Discount Store,Inexpensive,$,4,5,Harlem,36 W 116th St,10026,10026,40.8011187,-73.9481287,,https://s3-media2.fl.yelpcdn.com/bphoto/WlLRKjBbDhlvHkNGroE83Q/ls.jpg
