business_id,yelpPage
wine-escape-new-york,https://www.yelp.com/biz/wine-escape-new-york
pennsylvania-6-nyc-new-york,https://www.yelp.com/biz/pennsylvania-6-nyc-new-york
jessis-coffee-shop-brooklyn,https://www.yelp.com/biz/jessis-coffee-shop-brooklyn
brasserie-séoul-brooklyn-8,https://www.yelp.com/biz/brasserie-séoul-brooklyn-8
el-gran-castillo-de-jagua-brooklyn,https://www.yelp.com/biz/el-gran-castillo-de-jagua-brooklyn
artichoke-basilles-pizza-brooklyn-9,https://www.yelp.com/biz/artichoke-basilles-pizza-brooklyn-9
hungry-ghost-brooklyn,https://www.yelp.com/biz/hungry-ghost-brooklyn
kulushkat-gourmet-falafel-brooklyn,https://www.yelp.com/biz/kulushkat-gourmet-falafel-brooklyn
no-pork-halal-kitchen-brooklyn,https://www.yelp.com/biz/no-pork-halal-kitchen-brooklyn
pokébowl-station-brooklyn-6,https://www.yelp.com/biz/pokébowl-station-brooklyn-6
lucky-13-saloon-gowanus,https://www.yelp.com/biz/lucky-13-saloon-gowanus
black-forest-brooklyn-brooklyn,https://www.yelp.com/biz/black-forest-brooklyn-brooklyn
kbh-beer-hall-brooklyn,https://www.yelp.com/biz/kbh-beer-hall-brooklyn
oaxaca-taqueria-brooklyn-2,https://www.yelp.com/biz/oaxaca-taqueria-brooklyn-2
kith-treats-brooklyn,https://www.yelp.com/biz/kith-treats-brooklyn
benchmark-brooklyn,https://www.yelp.com/biz/benchmark-brooklyn
faros-restaurant-brooklyn-4,https://www.yelp.com/biz/faros-restaurant-brooklyn-4
sofreh-brooklyn,https://www.yelp.com/biz/sofreh-brooklyn
insa-brooklyn,https://www.yelp.com/biz/insa-brooklyn
wild-park-slope-brooklyn,https://www.yelp.com/biz/wild-park-slope-brooklyn
skate-brooklyn-brooklyn,https://www.yelp.com/biz/skate-brooklyn-brooklyn
koto-sushi-brooklyn-4,https://www.yelp.com/biz/koto-sushi-brooklyn-4
taiki-brooklyn,https://www.yelp.com/biz/taiki-brooklyn
national-brooklyn-2,https://www.yelp.com/biz/national-brooklyn-2
leyenda-brooklyn,https://www.yelp.com/biz/leyenda-brooklyn
next-level-burger-brooklyn,https://www.yelp.com/biz/next-level-burger-brooklyn
canteen-delicatessen-and-cafe-brooklyn,https://www.yelp.com/biz/canteen-delicatessen-and-cafe-brooklyn
dot-and-line-brooklyn-4,https://www.yelp.com/biz/dot-and-line-brooklyn-4
claw-daddys-brooklyn,https://www.yelp.com/biz/claw-daddys-brooklyn
fob-brooklyn-brooklyn,https://www.yelp.com/biz/fob-brooklyn-brooklyn
smashburger-brooklyn-3,https://www.yelp.com/biz/smashburger-brooklyn-3
claro-brooklyn,https://www.yelp.com/biz/claro-brooklyn
canal-bar-brooklyn,https://www.yelp.com/biz/canal-bar-brooklyn
tomato-n-basil-pizza-brooklyn,https://www.yelp.com/biz/tomato-n-basil-pizza-brooklyn
brooklyn-moon-cafe-brooklyn,https://www.yelp.com/biz/brooklyn-moon-cafe-brooklyn
fausto-brooklyn,https://www.yelp.com/biz/fausto-brooklyn
lean-crust-brooklyn,https://www.yelp.com/biz/lean-crust-brooklyn
velvette-brew-brooklyn,https://www.yelp.com/biz/velvette-brew-brooklyn
café-regular-du-nord-brooklyn-3,https://www.yelp.com/biz/café-regular-du-nord-brooklyn-3
roma-pizza-and-restaurant-brooklyn,https://www.yelp.com/biz/roma-pizza-and-restaurant-brooklyn
lemongrass-grill-brooklyn-2,https://www.yelp.com/biz/lemongrass-grill-brooklyn-2
corner-delhi-brooklyn,https://www.yelp.com/biz/corner-delhi-brooklyn
pizza-secret-brooklyn,https://www.yelp.com/biz/pizza-secret-brooklyn
wingstop-brooklyn,https://www.yelp.com/biz/wingstop-brooklyn
alta-calidad-brooklyn,https://www.yelp.com/biz/alta-calidad-brooklyn
two-toms-restaurant-brooklyn-2,https://www.yelp.com/biz/two-toms-restaurant-brooklyn-2
die-stammkneipe-der-schwarze-kölner-brooklyn-2,https://www.yelp.com/biz/die-stammkneipe-der-schwarze-kölner-brooklyn-2
bombay-kabab-brooklyn,https://www.yelp.com/biz/bombay-kabab-brooklyn
shaking-crab-brooklyn-brooklyn-2,https://www.yelp.com/biz/shaking-crab-brooklyn-brooklyn-2
ninth-street-espresso-gowanus,https://www.yelp.com/biz/ninth-street-espresso-gowanus
crab-spot-restaurant-brooklyn,https://www.yelp.com/biz/crab-spot-restaurant-brooklyn
halal-paradise-brooklyn,https://www.yelp.com/biz/halal-paradise-brooklyn
uncle-louie-g-brooklyn-3,https://www.yelp.com/biz/uncle-louie-g-brooklyn-3
mokbar-brooklyn-brooklyn,https://www.yelp.com/biz/mokbar-brooklyn-brooklyn
south-brooklyn-pizza-brooklyn-2,https://www.yelp.com/biz/south-brooklyn-pizza-brooklyn-2
bati-brooklyn-2,https://www.yelp.com/biz/bati-brooklyn-2
shortys-brooklyn,https://www.yelp.com/biz/shortys-brooklyn
pizzatown-brooklyn-3,https://www.yelp.com/biz/pizzatown-brooklyn-3
