neighbourhood_group_cleansed,neighbourhood_cleansed,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,price2,price3,weekly_price2,monthly_price2,security_deposit2,cleaning_fee2,extra_people2
Manhattan,Harlem,$59.00,$720.00,"$1,690.00",$0.00,$60.00,$39.00,59.0,59.0,720.0,,0.0,60.0,39.0
Manhattan,Upper West Side,$140.00,$900.00,,,$40.00,$28.00,140.0,140.0,900.0,,,40.0,28.0
Brooklyn,Kensington,$149.00,$299.00,$999.00,$100.00,$25.00,$25.00,149.0,149.0,299.0,999.0,100.0,25.0,25.0
Manhattan,Midtown,$225.00,"$1,995.00",,$350.00,$100.00,$0.00,225.0,225.0,,,350.0,100.0,0.0
Manhattan,Harlem,$89.00,$400.00,"$1,100.00",$100.00,$30.00,$55.00,89.0,89.0,400.0,,100.0,30.0,55.0
Brooklyn,Williamsburg,$70.00,$650.00,"$1,900.00",$150.00,$125.00,$50.00,70.0,70.0,650.0,,150.0,125.0,50.0
Manhattan,Chelsea,$111.00,$777.00,"$2,500.00",$250.00,$50.00,$50.00,111.0,111.0,777.0,,250.0,50.0,50.0
Manhattan,Harlem,$150.00,,,$200.00,$75.00,$20.00,150.0,150.0,,,200.0,75.0,20.0
Brooklyn,Bedford-Stuyvesant,$125.00,$805.00,"$3,200.00",,$85.00,$15.00,125.0,125.0,805.0,,,85.0,15.0
Manhattan,Harlem,$60.00,,,,$50.00,$10.00,60.0,60.0,,,,50.0,10.0
Brooklyn,Clinton Hill,$89.00,$575.00,"$2,100.00",$500.00,,$0.00,89.0,89.0,575.0,,500.0,,0.0
Brooklyn,Carroll Gardens,$175.00,,,$0.00,$65.00,$15.00,175.0,175.0,,,0.0,65.0,15.0
Manhattan,East Harlem,$80.00,$600.00,"$1,600.00",$100.00,$80.00,$20.00,80.0,80.0,600.0,,100.0,80.0,20.0
Brooklyn,Clinton Hill,$125.00,$725.00,"$2,250.00","$1,000.00",$0.00,$5.00,125.0,125.0,725.0,,,0.0,5.0
Manhattan,Washington Heights,$65.00,,,$150.00,$10.00,$30.00,65.0,65.0,,,150.0,10.0,30.0
Manhattan,Murray Hill,$185.00,,,$300.00,$125.00,$75.00,185.0,185.0,,,300.0,125.0,75.0
Manhattan,Harlem,$240.00,,,$250.00,$0.00,$50.00,240.0,240.0,,,250.0,0.0,50.0
Brooklyn,Bedford-Stuyvesant,$60.00,,,,,$30.00,60.0,60.0,,,,,30.0
Manhattan,Hell's Kitchen,$79.00,$470.00,,,$15.00,$12.00,79.0,79.0,470.0,,,15.0,12.0
Manhattan,West Village,$500.00,,,$700.00,$200.00,$100.00,500.0,500.0,,,700.0,200.0,100.0
Manhattan,Upper West Side,$79.00,,,,,$0.00,79.0,79.0,,,,,0.0
Brooklyn,Williamsburg,$101.00,,,$300.00,$90.00,$19.00,101.0,101.0,,,300.0,90.0,19.0
Brooklyn,Park Slope,$220.00,"$1,400.00",,"$1,000.00",$250.00,$50.00,220.0,220.0,,,,250.0,50.0
Manhattan,Flatiron District,$126.00,,,,$50.00,$10.00,126.0,126.0,,,,50.0,10.0
Brooklyn,Bedford-Stuyvesant,$125.00,$975.00,"$3,500.00",,$85.00,$25.00,125.0,125.0,975.0,,,85.0,25.0
Manhattan,Chinatown,$150.00,,,$0.00,$40.00,$10.00,150.0,150.0,,,0.0,40.0,10.0
Brooklyn,Williamsburg,$139.00,,,$500.00,$100.00,$0.00,139.0,139.0,,,500.0,100.0,0.0
Manhattan,Upper West Side,$135.00,,"$2,800.00",$450.00,$60.00,$0.00,135.0,135.0,,,450.0,60.0,0.0
Manhattan,Hell's Kitchen,$110.00,,,$200.00,,$0.00,110.0,110.0,,,200.0,,0.0
Manhattan,Harlem,$100.00,,,$100.00,$40.00,$0.00,100.0,100.0,,,100.0,40.0,0.0
Manhattan,Upper East Side,$180.00,,,,,$0.00,180.0,180.0,,,,,0.0
Manhattan,Hell's Kitchen,$359.00,,"$7,056.00",,$150.00,$0.00,359.0,359.0,,,,150.0,0.0
Brooklyn,South Slope,$89.00,,,$200.00,$64.00,$18.00,89.0,89.0,,,200.0,64.0,18.0
Brooklyn,Gowanus,$200.00,"$1,800.00",,$300.00,$100.00,$50.00,200.0,200.0,,,300.0,100.0,50.0
Manhattan,Hell's Kitchen,$59.00,,,,,$0.00,59.0,59.0,,,,,0.0
Manhattan,Upper West Side,$85.00,,,$200.00,$80.00,$40.00,85.0,85.0,,,200.0,80.0,40.0
Brooklyn,Clinton Hill,$125.00,$898.00,"$1,898.00",$200.00,$75.00,$10.00,125.0,125.0,898.0,,200.0,75.0,10.0
Manhattan,West Village,$175.00,,"$3,600.00",$500.00,$100.00,$10.00,175.0,175.0,,,500.0,100.0,10.0
Brooklyn,Williamsburg,$140.00,,,$200.00,$90.00,$20.00,140.0,140.0,,,200.0,90.0,20.0
Manhattan,East Harlem,$75.00,,,$250.00,,$95.00,75.0,75.0,,,250.0,,95.0
Brooklyn,Williamsburg,$150.00,$850.00,"$1,950.00",$500.00,$50.00,$50.00,150.0,150.0,850.0,,500.0,50.0,50.0
Manhattan,East Village,$200.00,,,$300.00,$125.00,$100.00,200.0,200.0,,,300.0,125.0,100.0
Brooklyn,Fort Greene,$215.00,,,$200.00,,$30.00,215.0,215.0,,,200.0,,30.0
Manhattan,East Village,$140.00,$910.00,"$3,500.00",$0.00,$70.00,$0.00,140.0,140.0,910.0,,0.0,70.0,0.0
Manhattan,Chelsea,$140.00,,,$0.00,$0.00,$35.00,140.0,140.0,,,0.0,0.0,35.0
Brooklyn,Crown Heights,$99.00,,,$500.00,$50.00,$50.00,99.0,99.0,,,500.0,50.0,50.0
Brooklyn,South Slope,$135.00,,"$3,000.00",$0.00,$0.00,$25.00,135.0,135.0,,,0.0,0.0,25.0
Manhattan,East Harlem,$79.00,,"$1,375.00",$450.00,$0.00,$30.00,79.0,79.0,,,450.0,0.0,30.0
Brooklyn,Williamsburg,$90.00,$750.00,"$2,600.00",,$60.00,$30.00,90.0,90.0,750.0,,,60.0,30.0
