bizID,title,categories,priceRange,dollarPrice,rating,reviewCount,address,district,searchZipcode,exactZipcode,latitude,longitude,phone,img,neighborhood,neighborhood_group
67-orange-street-new-york,67 Orange Street,Lounges;Cocktail Bars,Moderate,$$,4,350,2082 Frederick Douglas Blvd,Harlem,10026,10026,40.8022697271481,-73.95678520202641,(212) 662-2030,https://s3-media2.fl.yelpcdn.com/bphoto/tNDVbUow9R4LfuWo1mSNkg/ls.jpg,Harlem,Manhattan
mess-hall-harlem,Mess Hall,Cocktail Bars;Pubs;Dive Bars,Moderate,$$,4,132,2194 Frederick Douglass Blvd,Harlem,10026,10026,40.8058285,-73.9539762,(646) 692-3098,https://s3-media2.fl.yelpcdn.com/bphoto/bmDGNuvaXQ-_0SHNIn0sWg/ls.jpg,Harlem,Manhattan
kingston-harlem,Kingston,Caribbean;Bars,$11-30,$$,3,100,218 W 116th St,Harlem,10026,10026,40.8033485,-73.9535015,(646) 861-1082,https://s3-media2.fl.yelpcdn.com/bphoto/_kmC0NsOkynVpV_utPmPrw/ls.jpg,Harlem,Manhattan
chocolat-restaurant-and-bar-new-york-3,Chocolat Restaurant & Bar,American (New);Lounges;Comfort Food,$11-30,$$,3,871,2223 Frederick Douglass Blvd,Harlem,10026,10026,40.8069256,-73.9539472,(212) 222-4545,https://s3-media1.fl.yelpcdn.com/bphoto/NbnLWvwIDfiyqVLnDfxrvw/ls.jpg,Harlem,Manhattan
sexy-taco-dirty-cash-new-york,Sexy Taco/Dirty Cash,Cocktail Bars;American (New);Mexican,$11-30,$$,3,302,161 Malcolm X Blvd,Harlem,10026,10026,40.803601,-73.9490012,(212) 280-4700,https://s3-media2.fl.yelpcdn.com/bphoto/hbhuYw03UDyauXvsdbUbCg/ls.jpg,Harlem,Manhattan
under-bar-new-york,Under Bar,Cocktail Bars;Speakeasies,Moderate,$$,2,20,280 1/2 W 115th St,Harlem,10026,10026,40.7999117,-73.94744709999998,,https://s3-media4.fl.yelpcdn.com/bphoto/C4aqtaUG3SmPfB9-d5S6Pw/ls.jpg,Harlem,Manhattan
el-encanto-de-lola-2-new-york,El Encanto De Lola 2,Mexican;Bars,,,3,7,175 Lenox Ave,Harlem,10026,10026,40.8039683,-73.9486336,(646) 850-3623,https://s3-media4.fl.yelpcdn.com/bphoto/0_MjJahDNXwPaY0Sri3Kqg/ls.jpg,Harlem,Manhattan
moca-bar-and-lounge-new-york,Moca Bar and Lounge,American (Traditional);Lounges;Comfort Food,$11-30,$$,3,161,2210 8th Ave,Harlem,10026,10026,40.80629348754879,-73.9534912109375,(212) 665-8081,https://s3-media4.fl.yelpcdn.com/bphoto/Bn-aS3MWhQqWRAn0jwNpTg/ls.jpg,Harlem,Manhattan
la-diagonal-new-york-5,La Diagonal,Bars;New Mexican Cuisine;Tapas Bars,$11-30,$$,4,146,185 St Nicholas Ave,Harlem,10026,10026,40.806158,-73.9530364,(212) 418-1220,https://s3-media3.fl.yelpcdn.com/bphoto/RIUqGQLp9dOGmvc1LnDJCA/ls.jpg,Harlem,Manhattan
bean-and-barley-new-york,Bean & Barley,Coffee & Tea;Cocktail Bars;Irish Pub,,,4,24,2118 Frederick Douglas Blvd,Harlem,10026,10026,40.803313,-73.955899,,https://s3-media3.fl.yelpcdn.com/bphoto/7y7ZYfyWTiu06W6aqCMl1g/ls.jpg,Harlem,Manhattan
seventeen-below-new-york,Seventeen Below,Lounges,Moderate,$$,2,3,2163 Frederick Douglass Blvd,Harlem,10026,10026,40.8049409,-73.95530670000002,(212) 749-2569,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
mintons-playhouse-new-york-5,Minton’s Playhouse,Jazz & Blues;American (Traditional);Bars,$31-60,$$$,3,177,206 W 118th St,Harlem,10026,10026,40.804665,-73.952315,(212) 243-2222,https://s3-media1.fl.yelpcdn.com/bphoto/rcIQacaKsvVJrOXNiiznwA/ls.jpg,Harlem,Manhattan
harlem-tavern-new-york-2,Harlem Tavern,Pubs;American (New);Breakfast & Brunch,$11-30,$$,3,1139,2153 Frederick Douglass Blvd,Harlem,10026,10026,40.804693,-73.955499,(212) 866-4500,https://s3-media1.fl.yelpcdn.com/bphoto/H6XLSHrP5LtyjFgz6mPGRw/ls.jpg,Harlem,Manhattan
row-house-new-york-6,Row House,American (New);Tapas/Small Plates;Cocktail Bars,$11-30,$$,3,296,2128 Frederick Douglass Blvd,Harlem,10026,10026,40.80353220000001,-73.95565970000001,(212) 256-0019,https://s3-media4.fl.yelpcdn.com/bphoto/-rJC-ET_FqURAjQUjVomAg/ls.jpg,Harlem,Manhattan
mist-harlem-new-york-3,Mist Harlem,Venues & Event Spaces;Breakfast & Brunch;Music Venues,$11-30,$$,2,114,46 W 116th St,Harlem,10026,10026,40.8012472,-73.9485127,(212) 828-6478,https://s3-media1.fl.yelpcdn.com/bphoto/CuaChHa95FQXhqusQZFdNg/ls.jpg,Harlem,Manhattan
