bizID,title,categories,priceRange,dollarPrice,rating,reviewCount,address,district,searchZipcode,exactZipcode,latitude,longitude,phone,img,neighborhood,neighborhood_group
malcolm-shabazz-harlem-market-new-york,Malcolm Shabazz Harlem Market,Shopping Centers,Inexpensive,$,4,21,52 W 116th St,Harlem,10026,10026,40.8014039,-73.94871479999998,(212) 987-8131,https://s3-media4.fl.yelpcdn.com/bphoto/P0mnXOfKn5amrixsaq1kbQ/90s.jpg,Harlem,Manhattan
trunk-show-designer-consignment-new-york,Trunk Show Designer Consignment,Personal Shopping;Used;Vintage & Consignment,Ultra High-End,$$$$,4,17,275-277 W 113th St,Harlem,10026,10026,40.8023724,-73.95634799999998,(212) 662-0009,https://s3-media2.fl.yelpcdn.com/bphoto/Z6Cdih4wtfS4xRUEZfNpPg/90s.jpg,Harlem,Manhattan
carbon-showroom-new-york,Carbon Showroom,Women's Clothing;Men's Clothing;Jewelry,,,5,1,131 W 116th St,Harlem,10026,10026,40.8027676,-73.9510118,(347) 201-0726,https://s3-media3.fl.yelpcdn.com/bphoto/pUGXvYfD44cB7aRItbuvcQ/90s.jpg,Harlem,Manhattan
nilu-gift-shop-new-york-2,NiLu Gift Shop,Gift Shops;Cards & Stationery,Moderate,$$,4,12,191 Malcolm X Blvd,Harlem,10026,10026,40.8044574,-73.9483587,(646) 964-4926,https://s3-media1.fl.yelpcdn.com/bphoto/z-nX0PC8WkfZz_2fuMhI_w/90s.jpg,Harlem,Manhattan
moes-sneaker-spot-new-york-3,Moe’s Sneaker Spot,Shoe Stores,Moderate,$$,5,2,1890 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.80246010000001,-73.9534152,(516) 473-0065,https://s3-media2.fl.yelpcdn.com/bphoto/n9ooZhPUd4yYFgOhZYfWPw/90s.jpg,Harlem,Manhattan
royaluxe-brooklyn,Royaluxe,Wholesale Stores,,,-1,-1,164 W 116th St,Harlem,10026,10026,40.8028606,-73.9523764,(347) 307-3334,https://s3-media3.fl.yelpcdn.com/bphoto/jJxlOQU9n1Wu5sHEC8TuSA/90s.jpg,Harlem,Manhattan
harlem-underground-new-york-2,Harlem Underground,Children's Clothing;Men's Clothing;Women's Clothing,,,-1,-1,2217 Frederick Douglass Blvd,Harlem,10026,10026,40.8069256,-73.9539472,(212) 222-4419,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
fallas-stores-new-york,Fallas Stores,Department Stores;Children's Clothing;Women's Clothing,Inexpensive,$,2,3,101 W 116th St,Harlem,10026,10026,40.80246270000001,-73.9498508,(212) 222-5356,https://s3-media2.fl.yelpcdn.com/bphoto/_CSRKhARCBgBbQbhu77ONQ/90s.jpg,Harlem,Manhattan
reginald-rousseau-working-art-studio-new-york,Reginald Rousseau Working Art Studio,Art Galleries,,,4,1,65 Saint Nicholas Ave,Harlem,10026,10026,40.8011236,-73.9527373,(516) 557-6693,https://s3-media3.fl.yelpcdn.com/bphoto/hY5s63yRPaCLTuCRo9na3Q/90s.jpg,Harlem,Manhattan
swing-new-york-city,SWING,Women's Clothing,,,-1,-1,108 W 118th St,Harlem,10026,10026,40.8034628,-73.9494949,(646) 661-0318,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
ashley-stewart-new-york-2,Ashley Stewart,Women's Clothing,,,3,2,39 W 116th St,Harlem,10026,10026,40.80172260000001,-73.9483604,(917) 492-3693,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
deals-new-york-2,Deals,Discount Store,Inexpensive,$,4,5,Harlem,36 W 116th St,10026,10026,40.8011187,-73.9481287,,https://s3-media2.fl.yelpcdn.com/bphoto/WlLRKjBbDhlvHkNGroE83Q/ls.jpg,Harlem,Manhattan
conscious-apparel-new-york,Conscious Apparel,Women's Clothing,,,-1,-1,194 Malcolm X Blvd,Harlem,10026,10026,40.8042922,-73.94766949999998,(212) 534-3502,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
trecis-klazet-manhattan,Tre’Ci’s KlaZet,Jewelry;Accessories,,,-1,-1,52 W 116th St,Harlem,10026,10026,40.80132800000001,-73.9487709,(914) 487-3247,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
tc-116-06-corporation-new-york,TC 116 06 Corporation,Shoe Stores,,,-1,-1,111 W 116th St,Harlem,10026,10026,40.8025565,-73.9505463,(212) 316-9480,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
1925-seventh-avenue-new-york,1925 Seventh Avenue,Fashion,,,-1,-1,1925 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.8033328,-73.9520465,(212) 222-8401,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
timite-and-sons-beauty-supply-new-york,Timite & Sons Beauty Supply,Cosmetics & Beauty Supply;Music & DVDs,Pricey,$$$,5,1,1970 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.8051372,-73.95171059999998,(212) 865-6278,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
soha-square-market-new-york,Soha Square Market,Pop-up Shops,,,-1,-1,2171 Frederick Douglass Blvd,Harlem,10026,10026,40.80534229999999,-73.9551166,(631) 213-7642,https://s3-media2.fl.yelpcdn.com/bphoto/6YzC0YX-9mAtxgdll7o2aQ/ls.jpg,Harlem,Manhattan
dollar-tree-new-york,Dollar Tree,Discount Store,Inexpensive,$,4,6,36 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(646) 672-0455,https://s3-media1.fl.yelpcdn.com/bphoto/tQz0ZKNz9qJ3ge-32vDCLw/ls.jpg,Harlem,Manhattan
hunter-toy-kingdom-new-york,Hunter Toy Kingdom,Hobby Shops;Toy Stores;Arts & Crafts,,,-1,-1,357 W 118th St,Morningside Heights,10026,10026,40.806806,-73.95639440000002,,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
marcos-leather-lab-1-new-york-4,Marcos Leather Lab 1,Shoe Repair;Leather Goods;Watch Repair,Moderate,$$,3,33,2096 Frederick Douglass Blvd,Harlem,10026,10026,40.802674,-73.95636390000001,(212) 666-1056,https://s3-media2.fl.yelpcdn.com/bphoto/XBig9HwrcfYFgbuIknISQQ/ls.jpg,Harlem,Manhattan
harlem-arts-salon-new-york,Harlem Arts Salon,Cultural Center;Art Galleries,,,-1,-1,1925 7th Ave,Harlem,10026,10026,40.8035057,-73.951957,(212) 749-7771,https://s3-media3.fl.yelpcdn.com/bphoto/Aa3JqC6YJHmdMXeXbOCo8Q/ls.jpg,Harlem,Manhattan
city-furniture-decor-new-york,City Furniture Decor,Furniture Stores,,,1,3,40 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(212) 996-2700,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
three-sisters-deli-new-york,Three Sisters Deli,Discount Store,Inexpensive,$,-1,-1,2154 Frederick Douglass Blvd,Harlem,10026,10026,40.804505337460704,-73.95507326894409,(646) 398-9211,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
harlem-rx-new-york,Harlem Rx,Drugstores,Ultra High-End,$$$$,5,3,102 D E F West 116th Street,Harlem,10026,10026,40.802017,-73.9501095,(212) 666-8100,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
x-gallery-new-york,X gallery,Art Galleries,,,-1,-1,163 Malcolm X Blvd,Harlem,10026,10026,40.8037041,-73.9489553,(504) 577-1268,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
art-in-flux-harlem-new-york,Art In Flux Harlem,Art Galleries,,,-1,-1,1961 Adam Clayton Powell Blvd 118th St,Harlem,10026,10026,40.8018555345511,-73.95103454589841,(646) 340-3479,https://s3-media2.fl.yelpcdn.com/bphoto/Fdkq2EhDlWBCwtQdb2P_zw/90s.jpg,Harlem,Manhattan
lenox-pharmacy-new-york,Lenox Pharmacy,Drugstores,,,-1,-1,27 Malcolm X Blvd,Harlem,10026,10026,40.7993134,-73.95212099999998,(212) 678-9722,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
leather-and-suede-doc-new-york,Leather & Suede DOC,Leather Goods,,,-1,-1,255 W 113th St,Harlem,10026,10026,40.8021827,-73.95553340000002,(212) 864-8105,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
lamp-african-art-new-york,Lamp African Art,Art Galleries,,,-1,-1,117 W 116th St,Harlem,10026,10026,40.8026088,-73.95047070000003,(800) 233-6490,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
malcolm-pharmacy-new-york,Malcolm Pharmacy,Drugstores,,,5,1,160 Malcolm X Blvd,Harlem,10026,10026,40.8033068,-73.9483554,(212) 722-1550,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
rite-aid-manhattan-42,Rite Aid,Drugstores;Convenience Stores,Moderate,$$,2,40,2170 Frederick Douglass Blvd,Harlem,10026,10026,40.8051444,-73.9546106,(212) 666-3013,https://s3-media3.fl.yelpcdn.com/bphoto/FCxot9fnxVmVw-q3UL7-xw/90s.jpg,Harlem,Manhattan
casa-frela-gallery-new-york,Casa Frela Gallery,Art Galleries,Moderate,$$,-1,-1,47 West 119th St,Harlem,10026,10026,40.80341,-73.946384,(212) 722-8577,https://s3-media1.fl.yelpcdn.com/bphoto/llgq1ZRJtnTD4RyQzFMfcA/90s.jpg,Harlem,Manhattan
hue-man-bookstore-new-york,Hue-Man Bookstore,Bookstores,,,-1,-1,40 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(646) 480-2268,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
tribal-spears-gallery-new-york,Tribal Spears Gallery,Art Galleries,,,-1,-1,301 W 110th St,Harlem,10026,10026,40.8010489,-73.958434,(212) 666-6550,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
aalbc-com-new-york,AALBC.Com,Bookstores,,,-1,-1,64 W 119th St,Harlem,10026,10026,40.8033644,-73.9473136,(212) 289-6356,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Harlem,Manhattan
paul-mann-incorporated-new-york,Paul Mann Incorporated,Newspapers & Magazines,,,-1,-1,125 W 110th St Ph 4,Harlem,10026,10026,40.7988,-73.95317,(212) 725-7833,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
harlem-renegades-2000-new-york,Harlem Renegades 2000,Music & DVDs,,,-1,-1,390 Manhattan Ave,Harlem,10026,10026,40.8053278,-73.9563026,(212) 865-3547,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
soha-style-furniture-new-york,Soha Style Furniture,Furniture Stores,,,-1,-1,15 W 116th St,Harlem,10026,10026,40.8012749,-73.9472333,(212) 828-3700,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
cjam-consulting-new-york,Cjam Consulting,Art Galleries,,,-1,-1,364 W 117th St,Morningside Heights,10026,10026,40.8059436,-73.9572373,(212) 933-4062,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Harlem,Manhattan
cvs-pharmacy-new-york-12,CVS Pharmacy,Drugstores,Moderate,$$,2,31,130 Malcolm X Blvd,Harlem,10026,10026,40.802,-73.9497,(212) 348-2199,https://s3-media3.fl.yelpcdn.com/bphoto/IL6EmLRVzWTVd-MASCeGng/90s.jpg,Harlem,Manhattan
harlem-underground-new-york,Harlem Underground,Men's Clothing;Women's Clothing,Pricey,$$$,4,15,20 E 125th St,East Harlem,10026,10034,40.8058143,-73.9413667,(212) 987-9385,https://s3-media3.fl.yelpcdn.com/bphoto/mGI5Lmv_bjSh-GDgG6eJYg/90s.jpg,East Harlem,Manhattan
miami-fashion-new-york,Miami Fashion,Fashion,,,5,1,541 W 207th St,Inwood,10032,10034,40.8656412,-73.91972659999998,(212) 567-4756,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
probus-new-york,Probus,Men's Clothing;Accessories,Pricey,$$$,5,1,4857 Broadway,Inwood,10032,10034,40.8670001,-73.9243629,(212) 923-9153,https://s3-media2.fl.yelpcdn.com/bphoto/9bqoDZkHi1D69uCwUvqAPA/ls.jpg,Inwood,Manhattan
brazen-lingerie-new-york,Brazen Lingerie,Lingerie,Moderate,$$,4,9,Inwood,,10032,10034,40.87214520000001,-73.9212858,(212) 567-5563,https://s3-media3.fl.yelpcdn.com/bphoto/L5fs4UUaE6i_K0VkEErn1g/90s.jpg,Inwood,Manhattan
dichter-pharmacy-and-soda-shoppe-new-york,Dichter Pharmacy & Soda Shoppe,Drugstores;Bagels,Inexpensive,$,4,43,4953 Broadway,Inwood,10032,10034,40.86798320000001,-73.9208627,(212) 569-1230,https://s3-media4.fl.yelpcdn.com/bphoto/NOkex-0mZpJWhVCvooHyhw/90s.jpg,Inwood,Manhattan
joyería-elizabeth-new-york-3,Joyería Elizabeth,Pawn Shops;Jewelry;Gold Buyers,,,5,1,551 W 207th St,Inwood,10032,10034,40.8660506,-73.9199302,(212) 569-3565,https://s3-media1.fl.yelpcdn.com/bphoto/la7N8RTUYqxIoh4ja1xQCQ/90s.jpg,Inwood,Manhattan
alexandro-furniture-new-york-4,Alexandro Furniture,Furniture Stores;Home Decor,,,1,1,592 W 207th St,Inwood,10032,10034,40.86714979999999,-73.921036,(212) 942-5500,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
ez-pawn-corp-new-york-4,EZ Pawn Corp,Jewelry;Pawn Shops,,,5,1,4930 Broadway,Inwood,10032,10034,40.8676481,-73.92145409999998,(212) 942-5950,https://s3-media1.fl.yelpcdn.com/bphoto/4evez1JVXDnUgQe13kJEXg/90s.jpg,Inwood,Manhattan
family-dollar-new-york,Family Dollar,Department Stores,,,-1,-1,228 Nagle Ave,Inwood,10032,10034,40.8629434,-73.9221125,(212) 569-1387,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
lloyds-department-store-new-york,Lloyds Department Store,Department Stores,,,-1,-1,3775 10th Ave,Inwood,10032,10034,40.8616554,-73.9206428,(212) 567-8949,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
dichter-pharmacy-new-york-2,Dichter Pharmacy,Drugstores,Inexpensive,$,5,6,4943 Broadway,Inwood,10032,10034,40.8680345,-73.92116920000002,(212) 569-1230,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
99c-super-center-new-york,99C Super Center,Discount Store,Inexpensive,$,2,1,Inwood,525 W 207th St,10032,10034,40.8653546,-73.91966590000001,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
el-rey-furniture-new-york,El Rey Furniture,Furniture Stores,Moderate,$$,2,16,605 W 207th St,Inwood,10032,10034,40.8674285,-73.9208276,(212) 569-5555,https://s3-media1.fl.yelpcdn.com/bphoto/8W7qUcOmeEZNUkJtG_HprQ/90s.jpg,Inwood,Manhattan
sahara-furniture-new-york,Sahara Furniture,Furniture Stores,,,1,2,490 W 207th St,Inwood,10032,10034,40.8641423,-73.91866170000002,(212) 304-0886,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
loca-fashions-new-york,Loca Fashions,Fashion,,,-1,-1,510 W 207th St,Inwood,10032,10034,40.8645691,-73.9194743,(212) 942-1735,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
rickys-halloween-new-york-3,Ricky’s Halloween,Costumes,,,1,1,4857 Broadway,Inwood,10032,10034,40.8670001,-73.9243629,(877) 447-4269,https://s3-media1.fl.yelpcdn.com/bphoto/EJDtzRKQgtCUWAZMm9RbVw/90s.jpg,Inwood,Manhattan
nagle-pharmacy-new-york,Nagle Pharmacy,Drugstores,,,5,1,220 Nagle Ave,Inwood,10032,10034,40.86259550000001,-73.92277840000001,(212) 942-0202,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
larimar-moving-xpress-new-york-2,Larimar Moving Xpress,Movers;Packing Services;Packing Supplies,,,-1,-1,520 W 207th St,Inwood,10034,10034,40.8650664,-73.9196934,(646) 347-1524,https://s3-media4.fl.yelpcdn.com/bphoto/8BLKA-Fwmlw_fPLlBA9dCg/90s.jpg,Inwood,Manhattan
inwood-pharmacy-new-york,Inwood Pharmacy,Drugstores,Moderate,$$,4,5,4915 Broadway,Inwood,10034,10034,40.867828,-73.9220665,(212) 304-4646,https://s3-media3.fl.yelpcdn.com/bphoto/XYW5mM3tp32ZbjouTXu1Tw/90s.jpg,Inwood,Manhattan
sherman-pharmacy-new-york,Sherman Pharmacy,Drugstores,,,5,1,232A Sherman Ave,Inwood,10034,10034,40.8661402,-73.9197582,(212) 567-1115,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
fairy-tale-dreams-new-york,Fairy Tale Dreams,Furniture Stores,,,-1,-1,4875 Broadway,Inwood,10034,10034,40.866916656494105,-73.923454284668,(212) 942-4888,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
