index,nbhId
0,Bayswater
1,Allerton
2,City Island
3,Ditmars Steinway
4,Ozone Park
5,Fordham
6,Whitestone
7,Arden Heights
8,Arrochar
9,Arverne
10,Bay Ridge
11,Belmont
12,Gerritsen Beach
13,Port Ivory
14,Soundview
15,Astoria
16,Bath Beach
17,Bayside
18,Battery Park City
19,Bay Terrace
20,"Bay Terrace, Staten Island"
21,Baychester
22,Bayswater
23,Bedford-Stuyvesant
24,Belle Harbor
25,Bellerose
26,Bensonhurst
27,Bergen Beach
28,Bloomfield
29,Boerum Hill
30,Borough Park
31,Brighton Beach
32,Prospect-Lefferts Gardens
33,Mott Haven
34,Bronxdale
35,Breezy Point
36,Briarwood
37,Brooklyn Heights
38,Brownsville
39,Bull's Head
40,Bushwick
41,Cambria Heights
42,"Chelsea, Staten Island"
43,Chinatown
44,City Island
45,Cypress Hills
46,Canarsie
47,Carroll Gardens
48,Castle Hill
49,Castleton Corners
50,Grant City
51,Charleston
52,Chelsea
53,Civic Center
54,Claremont Village
55,Clason Point
56,Clifton
57,Clinton Hill
58,Co-op City
59,Cobble Hill
60,College Point
61,Crown Heights
62,Columbia St
63,Concord
64,Concourse
65,Concourse Village
66,Coney Island
67,Corona
68,Mount Eden
69,Jamaica Hills
70,Country Club
71,Mount Hope
72,DUMBO
73,Dongan Hills
74,Douglaston
75,Downtown Brooklyn
76,Dyker Heights
77,Glen Oaks
78,East Elmhurst
79,East Flatbush
80,East Harlem
81,East Morrisania
82,Eltingville
83,Emerson Hill
84,Elmhurst
85,Fieldston
86,East New York
87,East Village
88,Eastchester
89,Edenwald
90,Edgemere
91,Glendale
92,Far Rockaway
93,Jamaica Estates
94,Financial District
95,Flatbush
96,Flatiron District
97,Flatlands
98,Laurelton
99,Shore Acres
100,Flushing
101,Gowanus
102,Forest Hills
103,Fort Greene
104,Fort Hamilton
105,Fort Wadsworth
106,Fresh Meadows
107,Gramercy
108,Graniteville
109,Gravesend
110,Kensington
111,Kew Gardens
112,Parkchester
113,Pelham Bay
114,Great Kills
115,Huguenot
116,Greenpoint
117,Greenwich Village
118,Grymes Hill
119,Harlem
120,Queens Village
121,Hell's Kitchen
122,Highbridge
123,Hollis
124,Hollis Hills
125,Holliswood
126,Howard Beach
127,Howard Beach
128,Howland Hook
129,Pelham Gardens
130,Hunts Point
131,Inwood
132,Jackson Heights
133,Jamaica
134,Morris Park
135,Kew Gardens Hills
136,Kingsbridge
137,Kips Bay
138,Lighthouse Hill
139,Little Italy
140,Little Neck
141,Morrisania
142,Murray Hill
143,Long Island City
144,Longwood
145,Lower East Side
146,Manhattan Beach
147,Marble Hill
148,Midtown
149,Midwood
150,Norwood
151,Oakwood
152,Morris Heights
153,Pleasant Plains
154,Mariners Harbor
155,Maspeth
156,Melrose
157,Middle Village
158,Midland Beach
159,Mill Basin
160,Morningside Heights
161,Olinville
162,Navy Yard
163,Neponsit
164,New Brighton
165,New Dorp
166,New Dorp Beach
167,New Springville
168,NoHo
169,Nolita
170,North Riverdale
171,Park Slope
172,Port Morris
173,Port Richmond
174,Prince's Bay
175,Prospect Heights
176,Randall Manor
177,Riverdale
178,Silver Lake
179,SoHo
180,Woodrow
181,Red Hook
182,Rego Park
183,Richmond Hill
184,Richmondtown
185,Ridgewood
186,Sea Gate
187,Rockaway Beach
188,Roosevelt Island
189,Rosebank
190,Rosedale
191,Rossville
192,Schuylerville
193,Sheepshead Bay
194,South Beach
195,South Ozone Park
196,South Slope
197,Springfield Gardens
198,Spuyten Duyvil
199,St. Albans
200,Tompkinsville
201,St. George
202,Stapleton
203,Stuyvesant Town
204,Sunnyside
205,Van Nest
206,Sunset Park
207,Theater District
208,Throgs Neck
209,Todt Hill
210,Tottenville
211,Tremont
212,Tribeca
213,Two Bridges
214,Vinegar Hill
215,Woodside
216,Unionport
217,University Heights
218,Upper East Side
219,Upper West Side
220,Windsor Terrace
221,Wakefield
222,Washington Heights
223,West Brighton
224,West Farms
225,Woodhaven
226,Woodlawn
227,West Village
228,Westchester Square
229,Westerleigh
230,Williamsbridge
231,Williamsburg
232,Willowbrook
