neighbourhood_group,density
Bronx,920.1151315
Staten Island,44.19950755
Staten Island,159.7091477
Queens,101.3402916
Queens,1074.181926
Brooklyn,302.6167
Manhattan,834.527749
Brooklyn,497.013315
Queens,36.00254049
Staten Island,52.45096922
Bronx,354.2968349
Queens,65.83816548
Queens,1172.478143
Queens,148.4437982
Brooklyn,1501.186358
Queens,40.95120127
Queens,57.59268168
Bronx,1642.784797
Brooklyn,411.2020826
Brooklyn,162.6903844
Brooklyn,1220.66505
Brooklyn,279.9507581
Queens,1.771440801
Queens,529.252255
Brooklyn,451.2752501
Bronx,2301.238693
Brooklyn,1073.551344
Brooklyn,542.4751017
Staten Island,32.56732972
Brooklyn,1943.93753
Queens,123.0959542
Brooklyn,306.7095295
Brooklyn,625.6553287
Bronx,217.8718784
Staten Island,85.96752235
Staten Island,2.019153784
Manhattan,1692.199833
Staten Island,9.611073714
Manhattan,2314.060645
Bronx,224.3267314
Bronx,9136.009791
Manhattan,1074.397472
Bronx,1640.054588
Bronx,265.6344334
Staten Island,540.79742
Brooklyn,1491.704456
Bronx,57.20171417
Brooklyn,668.1706295
Queens,136.9182376
Brooklyn,186.9017757
Staten Island,47.51835674
Bronx,1616.898805
Bronx,2129.262952
Brooklyn,609.9316322
Queens,789.199197
Bronx,134.5362298
Brooklyn,1676.358501
Brooklyn,934.104759
Brooklyn,661.3527384
Queens,273.4563543
Staten Island,150.2391047
Queens,40.84215404
Brooklyn,910.3526631
Brooklyn,202.1531183
Queens,421.2228718
Brooklyn,587.8446307
Manhattan,2188.197695
Bronx,854.182644
Brooklyn,320.8395778
Manhattan,4130.593723
Bronx,102.8947762
Bronx,457.2742742
Queens,170.6018623
Queens,578.3562955
Staten Island,61.16761624
Staten Island,105.7298944
Queens,290.6306048
Bronx,256.5110631
Manhattan,1805.762222
Brooklyn,1673.879195
Manhattan,2392.775037
Brooklyn,338.4026182
Queens,203.5463169
Bronx,2302.528535
Queens,348.5211466
Brooklyn,1179.800179
Brooklyn,329.4522085
Staten Island,16.50704531
Queens,63.48841256
Brooklyn,193.4168469
Queens,13.63725686
Queens,330.2646552
Brooklyn,897.329244
Manhattan,2571.308016
Staten Island,84.57038135
Staten Island,128.560568
Brooklyn,279.3893596
Staten Island,128.28566
Brooklyn,524.1286994
Manhattan,2618.413126
Staten Island,40.3051508
Manhattan,3479.218596
Manhattan,1948.926852
Bronx,1590.402209
Queens,433.6220059
Queens,63.16691218
Queens,67.55310089
Queens,727303.7509
Queens,116.4925539
Staten Island,4.040604508
Staten Island,30.92125159
Bronx,267.6864063
Manhattan,3237.499265
Queens,974.3482032
Queens,304.6097212
Queens,531.2863209
Queens,232.2673072
Brooklyn,717.234274
Queens,775.3860828
Queens,154.748977
Bronx,979.8095365
Manhattan,2018.126889
Queens,101.196648
Staten Island,18.7705201
Manhattan,2985.767216
Queens,54.46400369
Queens,378.1971453
Bronx,1000.772074
Manhattan,2685.296909
Brooklyn,120.6926374
Manhattan,1928.094431
Staten Island,156.9312117
Queens,152.3318215
Bronx,1607.261973
Queens,135.2526073
Staten Island,70.17211315
Manhattan,1655.680372
Brooklyn,370.8719705
Brooklyn,101.5474368
Manhattan,914.3567647
Bronx,1659.44456
Bronx,315.1697004
Bronx,1421.466896
Bronx,928.8884181
Bronx,2434.569193
Bronx,2260.301502
Manhattan,1721.367654
Brooklyn,22.7576777
Queens,66.66473695
Staten Island,342.2783614
Staten Island,37.79887856
Staten Island,105.9927492
Staten Island,59.73867651
Manhattan,2759.64425
Manhattan,4759.804124
Bronx,106.8274484
Bronx,2182.124177
Staten Island,33.09326205
Bronx,639.3537872
Queens,445.6486411
Brooklyn,1002.938528
Bronx,889.6719658
Bronx,295.3656815
Bronx,137.3854971
Staten Island,6.25625545
Staten Island,2.759779874
Bronx,65.59697749
Staten Island,227.6761204
Staten Island,18.55979096
Brooklyn,1631.719964
Brooklyn,2041.006582
Queens,196.6389165
Staten Island,235.9696402
Brooklyn,330.937645
Queens,428.1400682
Queens,632.9478801
Staten Island,42.44521553
Queens,790.6845365
Bronx,225.9191503
Queens,318.6648951
Manhattan,89.59101528
Staten Island,137.1921473
Queens,87.51229147
Staten Island,32.6079636
Bronx,232.6957561
Brooklyn,136.7908568
Brooklyn,315.33131
Staten Island,76.00013209
Staten Island,37.22591063
Manhattan,1496.276163
Bronx,1332.753164
Staten Island,52.95419776
Queens,313.4162834
Brooklyn,828.5777743
Queens,115.6643317
Bronx,169.91049
Queens,172.1588382
Staten Island,381.2423938
Staten Island,433.3376298
Manhattan,594.8721949
Queens,757.2519178
Brooklyn,610.7664643
Manhattan,1643.556862
Bronx,194.7856707
Staten Island,10.68935627
Staten Island,204.4951971
Staten Island,50.27942266
Bronx,1039.214555
Manhattan,1600.638604
Manhattan,2330.902256
Bronx,426.4403712
Bronx,1857.302995
Manhattan,2128.619204
Manhattan,1851.686466
Bronx,711.251275
Brooklyn,1389.213435
Bronx,564.6982513
Manhattan,3219.86892
Staten Island,237.7602153
Bronx,1464.193549
Manhattan,2599.492246
Bronx,474.9445329
Staten Island,84.73429838
Queens,73.01353937
Bronx,715.2404644
Brooklyn,1613.309335
Staten Island,32.97450264
Brooklyn,426.4984727
Queens,750.7142278
Bronx,99.86927911
Staten Island,44.86147019
Queens,664.119661
