neighbourhood_group_cleansed,neighbourhood_cleansed,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_response_rate2,host_is_superhost2,host_response_time2
Manhattan,Harlem,within a few hours,70%,,t,0.7,1.0,12.0
Manhattan,Upper West Side,within a day,80%,,f,0.8,0.0,24.0
Brooklyn,Kensington,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Midtown,within a few hours,82%,,f,0.82,0.0,12.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Williamsburg,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Chelsea,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Harlem,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Clinton Hill,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Carroll Gardens,within a few hours,90%,,f,0.9,0.0,12.0
Manhattan,East Harlem,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Clinton Hill,,,,f,,0.0,
Manhattan,Washington Heights,,,,f,,0.0,
Manhattan,Murray Hill,within a day,90%,,f,0.9,0.0,24.0
Manhattan,Harlem,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Bedford-Stuyvesant,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Hell's Kitchen,within a day,80%,,f,0.8,0.0,24.0
Manhattan,West Village,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Upper West Side,,,,f,,0.0,
Brooklyn,Williamsburg,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Park Slope,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Flatiron District,within a day,80%,,f,0.8,0.0,24.0
Brooklyn,Bedford-Stuyvesant,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Chinatown,within a day,89%,,t,0.89,1.0,24.0
Brooklyn,Williamsburg,,,,f,,0.0,
Manhattan,Upper West Side,within a day,86%,,f,0.86,0.0,24.0
Manhattan,Hell's Kitchen,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,,,,t,,1.0,
Manhattan,Upper East Side,,,,f,,0.0,
Manhattan,Hell's Kitchen,within a day,63%,,f,0.63,0.0,24.0
Brooklyn,South Slope,within a few hours,100%,,t,1.0,1.0,12.0
Brooklyn,Gowanus,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Hell's Kitchen,within a few hours,88%,,f,0.88,0.0,12.0
Manhattan,Upper West Side,within a day,90%,,f,0.9,0.0,24.0
Brooklyn,Clinton Hill,,,,f,,0.0,
Manhattan,West Village,within a few hours,100%,,t,1.0,1.0,12.0
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,East Harlem,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Williamsburg,,,,f,,0.0,
Manhattan,East Village,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Fort Greene,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,East Village,,,,f,,0.0,
Manhattan,Chelsea,,,,t,,1.0,
Brooklyn,Crown Heights,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,South Slope,within a few hours,100%,,t,1.0,1.0,12.0
Manhattan,East Harlem,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Williamsburg,within a day,67%,,f,0.67,0.0,24.0
Brooklyn,Williamsburg,,,,f,,0.0,
Manhattan,Flatiron District,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,Kips Bay,a few days or more,0%,,f,0.0,0.0,
Brooklyn,Park Slope,within a few hours,91%,,f,0.91,0.0,12.0
Brooklyn,Williamsburg,within an hour,90%,,t,0.9,1.0,1.0
Brooklyn,Park Slope,within a few hours,91%,,f,0.91,0.0,12.0
Manhattan,Upper West Side,within a day,71%,,f,0.71,0.0,24.0
Brooklyn,Park Slope,within a few hours,91%,,f,0.91,0.0,12.0
Manhattan,Harlem,within a few hours,70%,,t,0.7,1.0,12.0
Manhattan,Chelsea,,,,t,,1.0,
Manhattan,East Village,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,East Village,within a few hours,94%,,t,0.94,1.0,12.0
Brooklyn,Bedford-Stuyvesant,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,South Slope,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Windsor Terrace,,,,t,,1.0,
Manhattan,Inwood,,,,f,,0.0,
Manhattan,Hell's Kitchen,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,South Slope,within a day,87%,,f,0.87,0.0,24.0
Brooklyn,Bushwick,within a day,100%,,t,1.0,1.0,24.0
Manhattan,Upper West Side,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,East Village,,,,f,,0.0,
Bronx,Highbridge,,,,f,,0.0,
Brooklyn,Prospect-Lefferts Gardens,within a day,80%,,f,0.8,0.0,24.0
Brooklyn,Williamsburg,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Midtown,within a day,63%,,f,0.63,0.0,24.0
Brooklyn,Williamsburg,,,,f,,0.0,
Manhattan,East Village,within a few hours,94%,,t,0.94,1.0,12.0
Manhattan,Upper East Side,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Washington Heights,,,,t,,1.0,
Brooklyn,Bedford-Stuyvesant,within a day,90%,,f,0.9,0.0,24.0
Manhattan,East Village,within a few hours,100%,,t,1.0,1.0,12.0
Manhattan,Financial District,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Fort Greene,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Clinton Hill,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,West Village,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Greenpoint,,,,t,,1.0,
Manhattan,West Village,within a day,100%,,f,1.0,0.0,24.0
Brooklyn,Boerum Hill,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Fort Greene,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,West Village,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Hell's Kitchen,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,West Village,,,,f,,0.0,
Queens,Ridgewood,within a few hours,70%,,f,0.7,0.0,12.0
Brooklyn,Flatlands,within a day,50%,,f,0.5,0.0,24.0
Brooklyn,Clinton Hill,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Bedford-Stuyvesant,,,,f,,0.0,
Brooklyn,Clinton Hill,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Greenpoint,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Morningside Heights,,,,f,,0.0,
Brooklyn,Williamsburg,within a day,75%,,t,0.75,1.0,24.0
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Park Slope,within a day,100%,,f,1.0,0.0,24.0
Manhattan,East Village,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Cobble Hill,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,within an hour,100%,,f,1.0,0.0,1.0
Queens,Flushing,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,,,,f,,0.0,
Brooklyn,Williamsburg,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,,,,f,,0.0,
Brooklyn,Williamsburg,within a few hours,100%,,t,1.0,1.0,12.0
Manhattan,East Village,within a day,100%,,f,1.0,0.0,24.0
Brooklyn,Prospect Heights,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Upper East Side,,,,t,,1.0,
Brooklyn,Bedford-Stuyvesant,,,,f,,0.0,
Manhattan,Chelsea,,,,f,,0.0,
Manhattan,Upper West Side,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,Hell's Kitchen,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Williamsburg,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Lower East Side,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,,,,t,,1.0,
Brooklyn,Fort Greene,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Brooklyn Heights,,,,t,,1.0,
Manhattan,West Village,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,South Slope,within a few hours,100%,,t,1.0,1.0,12.0
Brooklyn,Prospect Heights,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Upper East Side,,,,f,,0.0,
Brooklyn,Prospect Heights,a few days or more,0%,,f,0.0,0.0,
Manhattan,Lower East Side,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Chelsea,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,East Harlem,,,,f,,0.0,
Manhattan,West Village,within a few hours,100%,,f,1.0,0.0,12.0
Queens,Jamaica,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Williamsburg,within a day,100%,,f,1.0,0.0,24.0
Queens,Jamaica,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,East Village,within a few hours,100%,,t,1.0,1.0,12.0
Brooklyn,Sunset Park,,,,f,,0.0,
Manhattan,Upper East Side,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Hell's Kitchen,,,,f,,0.0,
Brooklyn,Boerum Hill,within a day,100%,,f,1.0,0.0,24.0
Brooklyn,Bedford-Stuyvesant,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Washington Heights,within a day,80%,,f,0.8,0.0,24.0
Queens,Middle Village,within a few hours,70%,,f,0.7,0.0,12.0
Manhattan,Upper East Side,within a few hours,100%,,f,1.0,0.0,12.0
Queens,Ridgewood,within a few hours,70%,,f,0.7,0.0,12.0
Queens,Middle Village,within a few hours,70%,,f,0.7,0.0,12.0
Brooklyn,Williamsburg,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Hell's Kitchen,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Hell's Kitchen,within a day,90%,,t,0.9,1.0,24.0
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Prospect Heights,within an hour,100%,,f,1.0,0.0,1.0
Queens,Sunnyside,within a day,100%,,f,1.0,0.0,24.0
Manhattan,Harlem,,,,f,,0.0,
Bronx,Highbridge,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,within an hour,91%,,f,0.91,0.0,1.0
Queens,Jamaica,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,East Harlem,within a few hours,100%,,t,1.0,1.0,12.0
Brooklyn,DUMBO,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,Harlem,,,,f,,0.0,
Manhattan,Upper East Side,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Williamsburg,within an hour,100%,,t,1.0,1.0,1.0
Brooklyn,Gowanus,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,Harlem,,,,f,,0.0,
Manhattan,Harlem,,,,f,,0.0,
Brooklyn,Bedford-Stuyvesant,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Clinton Hill,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,NoHo,within a day,90%,,f,0.9,0.0,24.0
Brooklyn,Carroll Gardens,within a few hours,90%,,f,0.9,0.0,12.0
Manhattan,West Village,within a day,60%,,f,0.6,0.0,24.0
Brooklyn,Williamsburg,within an hour,100%,,f,1.0,0.0,1.0
Staten Island,St. George,,,,t,,1.0,
Brooklyn,Fort Greene,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,East Village,within an hour,90%,,t,0.9,1.0,1.0
Brooklyn,East Flatbush,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Greenpoint,within a few hours,100%,,f,1.0,0.0,12.0
Brooklyn,Williamsburg,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,Harlem,,,,f,,0.0,
Manhattan,East Village,within a few hours,100%,,f,1.0,0.0,12.0
Manhattan,Washington Heights,,,,f,,0.0,
Brooklyn,Cobble Hill,within a day,87%,,f,0.87,0.0,24.0
Manhattan,East Village,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Bushwick,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Hell's Kitchen,within an hour,100%,,t,1.0,1.0,1.0
Manhattan,East Village,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,Flatiron District,within a few hours,100%,,t,1.0,1.0,12.0
Staten Island,Tompkinsville,within an hour,92%,,f,0.92,0.0,1.0
Staten Island,Tompkinsville,within an hour,92%,,f,0.92,0.0,1.0
Manhattan,Harlem,within an hour,100%,,f,1.0,0.0,1.0
Manhattan,East Village,within an hour,100%,,f,1.0,0.0,1.0
Brooklyn,Windsor Terrace,,,,f,,0.0,
Manhattan,Upper West Side,a few days or more,0%,,f,0.0,0.0,
Staten Island,Tompkinsville,within an hour,92%,,f,0.92,0.0,1.0
Manhattan,NoHo,,,,t,,1.0,
Manhattan,East Village,within a day,90%,,f,0.9,0.0,24.0
Manhattan,Chelsea,within a few hours,100%,,t,1.0,1.0,12.0
