neighborhood,count
Allerton,5361
Arden Heights,891
Arrochar,1218
Arverne,2158
Astoria,9216
Bath Beach,2894
Battery Park City,525
Bay Ridge,5085
Bay Terrace,590
"Bay Terrace, Staten Island",456
Baychester,1790
Bayside,3421
Bayswater,1708
Bedford-Stuyvesant,30660
Belle Harbor,282
Bellerose,1540
Belmont,7279
Bensonhurst,5308
Bergen Beach,822
Bloomfield,142
Boerum Hill,1774
Borough Park,6789
Breezy Point,197
Briarwood,1619
Brighton Beach,5092
Bronxdale,1612
Brooklyn Heights,1461
Brownsville,15927
Bull's Head,1335
Bushwick,14965
Cambria Heights,1837
Canarsie,10362
Carroll Gardens,1595
Castle Hill,2094
Castleton Corners,967
Charleston,251
Chelsea,12946
"Chelsea, Staten Island",297
Chinatown,2321
City Island,354
Civic Center,1089
Claremont Village,6749
Clason Point,2928
Clifton,1965
Clinton Hill,2713
Co-op City,3573
Cobble Hill,765
College Point,2178
Columbia St,402
Concord,807
Concourse,5840
Concourse Village,6581
Coney Island,5045
Corona,4381
Country Club,476
Crown Heights,23115
Cypress Hills,8770
DUMBO,498
Ditmars Steinway,3535
Dongan Hills,593
Douglaston,704
Downtown Brooklyn,5541
Dyker Heights,1848
East Elmhurst,6796
East Flatbush,20265
East Harlem,27177
East Morrisania,4159
East New York,27685
East Village,10819
Eastchester,1092
Edenwald,2371
Edgemere,1541
Elmhurst,9119
Eltingville,822
Emerson Hill,910
Far Rockaway,5391
Fieldston,470
Financial District,5170
Flatbush,12325
Flatiron District,2109
Flatlands,5894
Flushing,15182
Fordham,16332
Forest Hills,4045
Fort Greene,6069
Fort Hamilton,2348
Fort Wadsworth,27
Fresh Meadows,1441
Gerritsen Beach,407
Glen Oaks,281
Glendale,2828
Gowanus,2271
Gramercy,4260
Graniteville,1660
Grant City,241
Gravesend,7658
Great Kills,1153
Greenpoint,3848
Greenwich Village,5045
Grymes Hill,282
Harlem,35314
Hell's Kitchen,12430
Highbridge,4223
Hollis,2356
Hollis Hills,211
Holliswood,290
Howard Beach,2011
Howland Hook,709
Huguenot,446
Hunts Point,3404
Inwood,5856
Jackson Heights,9338
Jamaica,24287
Jamaica Estates,1415
Jamaica Hills,1328
Kensington,3039
Kew Gardens,1212
Kew Gardens Hills,1548
Kingsbridge,8763
Kips Bay,3309
Laurelton,1977
Lighthouse Hill,147
Little Italy,389
Little Neck,396
Long Island City,8274
Longwood,19414
Lower East Side,9050
Manhattan Beach,369
Marble Hill,2038
Mariners Harbor,2936
Maspeth,3763
Melrose,5580
Middle Village,1843
Midland Beach,616
Midtown,22784
Midwood,4780
Mill Basin,1896
Morningside Heights,2810
Morris Heights,5487
Morris Park,2346
Morrisania,4364
Mott Haven,13255
Mount Eden,3861
Mount Hope,5331
Murray Hill,1425
Navy Yard,163
Neponsit,76
New Brighton,792
New Dorp,866
New Dorp Beach,907
New Springville,2555
NoHo,785
Nolita,763
North Riverdale,784
Norwood,7361
Oakwood,563
Olinville,1355
Ozone Park,5665
Park Slope,4102
Parkchester,8396
Pelham Bay,1513
Pelham Gardens,933
Pleasant Plains,231
Port Ivory,12
Port Morris,1189
Port Richmond,3057
Prince's Bay,808
Prospect Heights,1598
Prospect-Lefferts Gardens,6622
Queens Village,4426
Randall Manor,2476
Red Hook,2155
Rego Park,3198
Richmond Hill,9996
Richmondtown,330
Ridgewood,5679
Riverdale,700
Rockaway Beach,1752
Roosevelt Island,262
Rosebank,403
Rosedale,2411
Rossville,1180
Schuylerville,1287
Sea Gate,243
Sheepshead Bay,9620
Shore Acres,522
Silver Lake,268
SoHo,5391
Soundview,7790
South Beach,843
South Ozone Park,4452
South Slope,1247
Springfield Gardens,3861
Spuyten Duyvil,452
St. Albans,4393
St. George,3280
Stapleton,1752
Stuyvesant Town,486
Sunnyside,3504
Sunset Park,10369
Theater District,7010
Throgs Neck,3764
Todt Hill,566
Tompkinsville,876
Tottenville,1010
Tremont,5136
Tribeca,2831
Two Bridges,1061
Unionport,3498
University Heights,4295
Upper East Side,12494
Upper West Side,17936
Van Nest,1785
Vinegar Hill,875
Wakefield,7370
Washington Heights,14950
West Brighton,1419
West Farms,3586
West Village,6143
Westchester Square,2221
Westerleigh,511
Whitestone,1582
Williamsbridge,4663
Williamsburg,18168
Willowbrook,109
Windsor Terrace,771
Woodhaven,2935
Woodlawn,684
Woodrow,1000
Woodside,3903
