CounDist,BoroCD,AssemDist,the_geom,CongDist,StSenDist,SHELTER_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,AssetID,BoroCode,BoroName,Street,SegmentID,PhysicalID,NODEID,neighborhood,neighborhood_group
34,301,53,POINT (-73.94783099999995 40.70681200000007),7,18,BR0003,MONTROSE AV,LORIMER ST,-73.94783100000001,40.706812,1,3,Brooklyn,MONTROSE AVENUE,31244.0,91546,0,Williamsburg,Brooklyn
34,301,50,POINT (-73.94516199999998 40.71909700000003),12,18,BR0014,GRAHAM AV,HERBERT ST,-73.945162,40.719097,2,3,Brooklyn,GRAHAM AVENUE,35598.0,45754,0,Williamsburg,Brooklyn
34,301,53,POINT (-73.94578299999995 40.702976000000035),7,18,BR0026,BROADWAY,LEONARD ST,-73.94578299999999,40.702976,3,3,Brooklyn,BROADWAY,31350.0,43972,19920,Williamsburg,Brooklyn
34,301,50,POINT (-73.94083599999993 40.72019500000005),12,18,BR0028,KINGSLAND AV,HERBERT ST,-73.940836,40.720195000000004,4,3,Brooklyn,KINGSLAND AVENUE,65844.0,48893,40551,Williamsburg,Brooklyn
35,302,50,POINT (-73.96979499999998 40.69344000000007),8,25,BR0040,VANDERBILT AV,MYRTLE AV,-73.96979499999999,40.69344,5,3,Brooklyn,VANDERBILT AVENUE,30196.0,60512,0,Clinton Hill,Brooklyn
33,302,52,POINT (-73.99205599999993 40.68948800000004),7,26,BR0049,Atlantic Av,COURT ST,-73.992056,40.689488,6,3,Brooklyn,ATLANTIC AVENUE,115088.0,43130,0,Boerum Hill,Brooklyn
33,302,52,POINT (-73.99267499999996 40.689883000000066),7,26,BR0050,Atlantic Av,COURT ST,-73.992675,40.689883,7,3,Brooklyn,ATLANTIC AVENUE,23814.0,43129,0,Brooklyn Heights,Brooklyn
33,302,52,POINT (-73.99149099999994 40.696791000000076),7,26,BR0055,Cadman Plz West,CLARK ST,-73.991491,40.696791,8,3,Brooklyn,CADMAN PLAZA WEST,262639.0,148684,9036273,Brooklyn Heights,Brooklyn
33,302,52,POINT (-73.98756899999995 40.690251000000046),7,25,BR0058,LIVINGSTON ST,SMITH ST,-73.987569,40.690251,9,3,Brooklyn,LIVINGSTON STREET,24185.0,55244,0,Downtown Brooklyn,Brooklyn
35,302,57,POINT (-73.96923899999996 40.68965000000003),8,25,BR0062,VANDERBILT AV,DEKALB AV,-73.969239,40.68965,10,3,Brooklyn,VANDERBILT AVENUE,30180.0,60510,0,Fort Greene,Brooklyn
36,303,56,POINT (-73.94537699999995 40.690270000000055),8,25,BR0085,TOMPKINS AV,LAFAYETTE AV,-73.94537700000001,40.69027,11,3,Brooklyn,TOMPKINS AVENUE,31293.0,44634,0,Bedford-Stuyvesant,Brooklyn
36,303,56,POINT (-73.93494899999996 40.679400000000044),8,25,BR0097,TROY AV,FULTON ST,-73.934949,40.6794,12,3,Brooklyn,TROY AVENUE,43191.0,47956,26817,Bedford-Stuyvesant,Brooklyn
36,303,57,POINT (-73.95539999999994 40.68110000000007),8,25,BR0105,FULTON ST BETWEEN FRANKLIN AV & SPENSER,BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811,13,3,Brooklyn,FULTON STREET,29564.0,39107,0,Bedford-Stuyvesant,Brooklyn
36,303,56,POINT (-73.94329499999998 40.69613500000003),8,18,BR0113,MYRTLE AV,THROOP AV,-73.94329499999999,40.696135,14,3,Brooklyn,MYRTLE AVENUE,9007438.0,43628,9002489,Bedford-Stuyvesant,Brooklyn
